Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
24.148,0.0255,0,0.000263886,440.172,40715
49.6426,0.0405,1,0.000262387,417.246,40715
75.1754,0.0555,2,0.000260394,396.656,40715
100.197,0.0705,3,0.000258628,376.825,40715
125.143,0.0855,4,0.000257174,357.756,40715
149.67,0.1005,5,0.000255835,339.611,40715
174.044,0.1155,6,0.000254732,322.395,40715
198.194,0.1305,7,0.000253712,305.973,40715
222.131,0.1455,8,0.000252972,290.679,40715
246.011,0.1605,9,0.000252175,275.952,40715
269.611,0.1755,10,0.000251715,262.135,40715
292.973,0.1905,11,0.000251354,249.029,40715
316.291,0.2055,12,0.000251269,236.635,40715
339.334,0.2205,13,0.000251598,224.606,40715
362.38,0.2355,14,0.000251902,213.443,40715
436.445,0.2915,15,0.000223838,286.755,26649
453.289,0.3065,16,0.000223123,272.675,26649
469.981,0.3215,17,0.000222632,259.152,26649
486.534,0.3365,18,0.000222588,246.395,26649
502.949,0.3515,19,0.000222895,233.924,26649
519.134,0.3665,20,0.000223836,221.767,26649
535.261,0.3815,21,0.0002247,210.49,26649
